"cod_reg","den_reg","gdp_tot","gdp_procap","pop_resid","superf_kmq","dens_ab","num_com","num_prov","num_teams"
1,"Piemonte",129322,30300,4356406,"25387.07",172,1181,8,2
2,"Valle d'Aosta",4436,35200,125666,"3260.9",39,74,1,0
3,"Lombardia",366541,38200,10060574,"23863.65",422,1506,12,4
4,"Trentino Alto Adige",41104,39074,1072276,"13605.5",79,282,2,0
5,"Veneto",155515,33100,4905854,"18345.35",267,563,7,1
6,"Friuli Venezia Giulia",36935,31000,1215220,"7924.36",153,215,4,1
7,"Liguria",46789,29678,1550640,"5416.21",286,234,4,2
8,"Emilia-Romagna",157420,35300,4459477,"22452.78",199,328,9,4
9,"Toscana",112239,30500,3729641,"22987.04",162,273,10,1
10,"Umbria",21341,24300,882015,"8464.33",104,92,2,0
11,"Marche",40988,26600,1525271,"9401.38",162,228,5,0
12,"Lazio",185935,32900,5879082,"17232.29",341,378,5,2
13,"Abruzzo",31959,24400,1311580,"10831.84",121,305,4,0
14,"Molise",6233,19500,305617,"4460.65",69,136,2,0
15,"Campania",106753,18200,5801692,"13670.95",424,550,5,1
16,"Puglia",72406,18000,4029053,"19540.9",206,257,6,1
17,"Basilicata",11782,20800,562869,"10073.32",56,131,2,0
18,"Calabria",33054,17100,1947131,"15221.9",128,404,5,0
19,"Sicilia",86998,17400,4999891,"25832.39",194,390,9,0
20,"Sardegna",33556,20300,1639591,"24100.02",68,377,5,1
